Each Task Period:[5, 17]

Task1- MissCount, TotalTxCount: 112 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 104 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 115 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 94 20000
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 97 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 104 20000
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 97 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 115 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 115 19999
Task2- MissCount, TotalTxCount: 19 5880
Task1- MissCount, TotalTxCount: 101 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 97 20000
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 106 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 119 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 102 19999
Task2- MissCount, TotalTxCount: 17 5880
Task1- MissCount, TotalTxCount: 98 19999
Task2- MissCount, TotalTxCount: 17 5880
Task1- MissCount, TotalTxCount: 115 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 110 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 103 20000
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 106 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 16 5880
Task1- MissCount, TotalTxCount: 109 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 123 19999
Task2- MissCount, TotalTxCount: 16 5880
Task1- MissCount, TotalTxCount: 113 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 102 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 95 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 95 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 113 20000
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 104 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 113 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 107 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 116 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 90 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 110 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 95 19999
Task2- MissCount, TotalTxCount: 20 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 98 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 104 19999
Task2- MissCount, TotalTxCount: 19 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 106 20000
Task2- MissCount, TotalTxCount: 23 5880
Task1- MissCount, TotalTxCount: 99 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 108 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 91 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 109 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 100 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 96 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 98 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 110 19999
Task2- MissCount, TotalTxCount: 17 5880
Task1- MissCount, TotalTxCount: 106 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 96 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 95 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 89 20000
Task2- MissCount, TotalTxCount: 18 5880
Task1- MissCount, TotalTxCount: 119 20000
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 106 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 100 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 96 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 105 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 96 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 102 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 107 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 116 20000
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 108 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 91 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 101 20000
Task2- MissCount, TotalTxCount: 16 5880
Task1- MissCount, TotalTxCount: 107 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 115 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 107 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 94 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 106 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 94 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 101 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 113 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 99 19999
Task2- MissCount, TotalTxCount: 16 5880
Task1- MissCount, TotalTxCount: 96 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 109 20000
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 109 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 102 19999
Task2- MissCount, TotalTxCount: 8 5880
Task1- MissCount, TotalTxCount: 87 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 110 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 102 19999
Task2- MissCount, TotalTxCount: 17 5880
Task1- MissCount, TotalTxCount: 117 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 98 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 92 19999
Task2- MissCount, TotalTxCount: 9 5880
Task1- MissCount, TotalTxCount: 103 19999
Task2- MissCount, TotalTxCount: 7 5880
Task1- MissCount, TotalTxCount: 100 19999
Task2- MissCount, TotalTxCount: 6 5880
Task1- MissCount, TotalTxCount: 100 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 104 19999
Task2- MissCount, TotalTxCount: 14 5880
Task1- MissCount, TotalTxCount: 117 19999
Task2- MissCount, TotalTxCount: 11 5880
Task1- MissCount, TotalTxCount: 109 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 111 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 97 19999
Task2- MissCount, TotalTxCount: 5 5880
Task1- MissCount, TotalTxCount: 132 19999
Task2- MissCount, TotalTxCount: 17 5880
Task1- MissCount, TotalTxCount: 104 19999
Task2- MissCount, TotalTxCount: 18 5880
Task1- MissCount, TotalTxCount: 124 19999
Task2- MissCount, TotalTxCount: 10 5880
Task1- MissCount, TotalTxCount: 94 19999
Task2- MissCount, TotalTxCount: 17 5880
Task1- MissCount, TotalTxCount: 91 19999
Task2- MissCount, TotalTxCount: 12 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 104 19999
Task2- MissCount, TotalTxCount: 13 5880
Task1- MissCount, TotalTxCount: 93 19999
Task2- MissCount, TotalTxCount: 15 5880
